fq_name,count
androidx.test.platform,677
androidx.test.rule,254
androidx.test.runner,206
androidx.test.uiautomator,133
androidx.transition,157
androidx.tvprovider.media,4
androidx.ui,111
androidx.vectordrawable,51
androidx.view,4
androidx.viewbinding,179
androidx.viewpager,201
androidx.viewpager2,165
androidx.wear,28
androidx.window,17
androidx.work,1727
antlr,5
antonkozyriatskyi.circularprogressindicator,1
apoc,4
app,111
ar,58
arc,142
argo,42
arrow.common,19
arrow.core,4635
arrow.data,75
arrow.effects,109
arrow.fx,463
arrow.meta,95
arrow.mtl,154
arrow.optics,37
arrow.recursion,5
arrow.refinement,6
arrow.syntax,36
arrow.test,8
arrow.typeclasses,1123
asmble.cli,1
asmble.util,1
assert4k,63
assertk,2115
assimp,15
astminer.common.model,2
astminer.parse,1
astminer.parse.antlr,1
at,45
au,273
azadev.kotlin.css,4
badlog,3
baritone,47
base,4
basemod,124
batchZipCreation,19
baz,4
bdv,34
be,21
bftsmart,24
bibliothek,11
bin.signer,1
bin.signer.key,1
blue,667
blueprintjs,70
boofcv,20
box2dLight,2
br,141
brave,13
buildSrc,2
buildcraft,8
burst,44
butterknife,293
by,110
ca,30
cafe,9
cat,3
catchup,2
catcode,46
cc,383
cglfw,4
ch.ayedo,2
ch.difty.kris,3
ch.ethz.idsc,1
ch.jalu,29
ch.protonmail,18
ch.qos,382
ch.tutteli,640
ch.vorburger,6
ch06,4
chai,2
charlie,31
chat,24
cleargl,15
clog,54
clojure,20
club,102
cn,231
cnames,15
co.aikar,262
co.joebirch,5
co.metalab,17
co.paralleluniverse,1013
co.riiid.gradle,1
co.there4.hexagon,1
co.touchlab,168
co.zsmb,48
cocoapods,85
codeanticode.syphon,1
codes,18
cofh.api.energy,3
cofh.redstoneflux.api,1
coil,661
colossus,1
colossus.protocols,1
colossus.protocols.http,1
com.IceCreamQAQ.Yu,108
com.Ostermiller.util,1
com.adamkunicki,6
com.adarshr,13
com.adobe,8
com.afollestad,378
com.agile4j,26
com.agoda,52
com.ahmedvargos,10
com.airbnb,232
com.akdeniz,8
com.akexorcist,12
com.alee.laf,1
com.alexandriasoftware,7
com.alexfu,2
com.alexvasilkov,8
com.algolia,8
