groupId:artifactId,count,implementation,testImplementation,androidTestImplementation,kapt,classpath,api,annotationProcessor,compile,compileOnly,testCompile,testRuntimeOnly,testRuntime,runtimeOnly
com.comphenix.protocol:ProtocolLib,7,2,0,0,0,0,0,0,0,5,0,0,0,0
com.github.noonmaru:tap,5,3,0,0,0,0,0,0,0,2,0,0,0,0
com.github.noonmaru:kommand,5,5,0,0,0,0,0,0,0,0,0,0,0,0
it.unimi.dsi:fastutil,7,5,0,0,0,0,0,0,2,0,0,0,0,0
org.jetbrains.kotlin:kotlin-reflect,437,205,11,0,0,4,15,0,165,11,16,7,0,3
org.yaml:snakeyaml,38,25,0,0,0,5,1,0,4,1,1,0,0,1
androidx.cardview:cardview,9,8,0,0,0,0,1,0,0,0,0,0,0,0
com.squareup.picasso:picasso,15,13,0,0,0,0,1,0,1,0,0,0,0,0
io.codearte.gradle.nexus:gradle-nexus-staging-plugin,19,2,0,0,0,17,0,0,0,0,0,0,0,0
org.junit.jupiter:junit-jupiter-api,251,8,186,0,0,0,3,0,3,1,48,0,0,2
org.junit.jupiter:junit-jupiter-params,75,2,58,0,0,0,1,0,0,0,13,0,1,0
org.junit.jupiter:junit-jupiter-engine,265,5,51,0,0,0,1,0,2,0,14,134,51,7
org.springframework.boot:spring-boot-gradle-plugin,52,3,0,0,0,48,0,0,0,1,0,0,0,0
com.squareup.okhttp3:okhttp,124,70,3,0,0,1,12,0,35,0,3,0,0,0
svarzee.gps:gpsoauth,1,0,0,0,0,0,0,0,1,0,0,0,0,0
com.squareup.moshi:moshi,45,30,1,0,0,0,6,0,7,1,0,0,0,0
net.jpountz.lz4:lz4,2,0,0,0,0,0,1,0,1,0,0,0,0,0
com.google.protobuf:protobuf-java,36,14,0,0,0,0,6,0,15,1,0,0,0,0
com.corundumstudio.socketio:netty-socketio,2,0,0,0,0,0,0,0,2,0,0,0,0,0
org.springframework.boot:spring-boot-starter,28,16,0,0,0,0,1,0,11,0,0,0,0,0
org.springframework.boot:spring-boot-starter-web,94,59,5,0,0,0,3,0,24,1,2,0,0,0
org.springframework.boot:spring-boot-starter-undertow,7,3,0,0,0,0,2,0,2,0,0,0,0,0
net.mbonnin.vespene:vespene-lib,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.dailymotion.kinta:kinta-lib,1,0,0,0,0,0,1,0,0,0,0,0,0,0
com.dailymotion.kinta:kinta-workflows,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.jetbrains.kotlin:reflect,176,112,11,0,0,0,26,0,19,7,0,1,0,0
com.github.kamatama41:gradle-embulk-plugin,1,0,0,0,0,1,0,0,0,0,0,0,0,0
net.researchgate:gradle-release,4,1,0,0,0,3,0,0,0,0,0,0,0,0
